"weather-proof gloves", "Hard Hats", "Work jacket", "Electrical Wire"
insitesandbox.com, insitesandbox.ca, kpgco.com, kgpco.ca
"Main", "Shop", "About", "Request Info"
"Product A", "Product B", "Product C", "Product D"
"Equipment", "Tools", "Safety", "Electrical"
"USD", "CAD", "EUR", "GBP"
"Add to Cart", "Checkout", "Search", "Continue Shopping"
“Self-Service”, “Customer Service”, “Contact Us”, “Help”
"Button", "Media", "Link", "Image"
"Buy Now", "About", "Desciption", "Checkout"
"Desktop", "Mobile", "Tablet", "Smart watch"
